Grafo ponderado, no dirigido, 100 nodos, 150 aristas
100 150
1 2 8
1 3 5
1 4 10
2 5 3
2 6 9
3 7 12
3 8 6
4 9 4
5 10 13
6 11 7
7 12 10
8 13 15
9 14 3
10 15 11
11 16 8
12 17 5
13 18 6
14 19 7
15 20 4
16 21 9
17 22 8
18 23 3
19 24 14
20 25 12
21 26 5
22 27 7
23 28 10
24 29 13
25 30 6
26 31 9
27 32 8
28 33 4
29 34 11
30 35 5
31 36 12
32 37 3
33 38 7
34 39 10
35 40 8
36 41 6
37 42 9
38 43 11
39 44 15
40 45 4
41 46 7
42 47 6
43 48 5
44 49 13
45 50 3
46 51 10
47 52 9
48 53 6
49 54 8
50 55 7
51 56 15
52 57 4
53 58 11
54 59 5
55 60 12
56 61 6
57 62 3
58 63 8
59 64 13
60 65 7
61 66 9
62 67 10
63 68 4
64 69 6
65 70 5
66 71 11
67 72 9
68 73 12
69 74 15
70 75 6
71 76 8
72 77 10
73 78 5
74 79 3
75 80 9
76 81 7
77 82 14
78 83 8
79 84 4
80 85 11
81 86 10
82 87 7
83 88 6
84 89 9
85 90 13
86 91 8
87 92 5
88 93 12
89 94 3
90 95 14
91 96 11
92 97 9
93 98 6
94 99 7
95 100 10
1 51 7
2 52 15
3 53 6
4 54 11
5 55 5
6 56 9
7 57 10
8 58 13
9 59 4
10 60 12
11 61 3
12 62 15
13 63 8
14 64 7
15 65 9
16 66 5
17 67 10
18 68 6
19 69 12
20 70 11
21 71 4
22 72 8
23 73 5
24 74 14
25 75 7
26 76 13
27 77 6
28 78 9
29 79 3
30 80 11
31 81 12
32 82 10
33 83 15
34 84 7
35 85 6
36 86 8
37 87 4
38 88 9
39 89 13
40 90 10
41 91 5
42 92 12
43 93 3
44 94 15
45 95 7
46 96 6
47 97 10
48 98 8
49 99 14
50 100 9
