%Grafo ponderado, no dirigido, 50 nodos, 75 aristas
50 75
1 2 7
1 3 8
1 4 5
2 5 10
2 6 3
3 7 6
3 8 4
4 9 12
5 10 2
5 11 7
6 12 9
7 13 11
8 14 3
9 15 5
10 16 8
11 17 6
12 18 13
13 19 7
14 20 4
15 21 9
16 22 10
17 23 14
18 24 5
19 25 6
20 26 3
21 27 8
22 28 7
23 29 4
24 30 9
25 31 11
26 32 6
27 33 5
28 34 10
29 35 15
30 36 3
31 37 7
32 38 13
33 39 8
34 40 2
35 41 14
36 42 6
37 43 11
38 44 9
39 45 4
40 46 7
41 47 5
42 48 10
43 49 3
44 50 8
1 11 12
2 12 6
3 13 5
4 14 11
5 15 9
6 16 13
7 17 4
8 18 7
9 19 8
10 20 15
11 21 3
12 22 6
13 23 10
14 24 9
15 25 2
16 26 14
17 27 4
18 28 12
19 29 7
20 30 5
21 31 8
22 32 10
23 33 11
24 34 13
39 49 7
40 50 9
