100 150
0 1 4
1 2 3
2 3 5
3 4 2
4 5 6
5 6 3
6 7 4
7 8 2
8 9 5
9 10 3
10 11 4
11 12 2
12 13 5
13 14 3
14 15 4
15 16 2
16 17 5
17 18 3
18 19 4
19 20 2
20 21 5
21 22 3
22 23 4
23 24 2
24 25 5
25 26 3
26 27 4
27 28 2
28 29 5
29 30 3
30 31 4
31 32 2
32 33 5
33 34 3
34 35 4
35 36 2
36 37 5
37 38 3
38 39 4
39 40 2
40 41 5
41 42 3
42 43 4
43 44 2
44 45 5
45 46 3
46 47 4
47 48 2
48 49 5
49 50 3
50 51 4
51 52 2
52 53 5
53 54 3
54 55 4
55 56 2
56 57 5
57 58 3
58 59 4
59 60 2
60 61 5
61 62 3
62 63 4
63 64 2
64 65 5
65 66 3
66 67 4
67 68 2
68 69 5
69 70 3
70 71 4
71 72 2
72 73 5
73 74 3
74 75 4
75 76 2
76 77 5
77 78 3
78 79 4
79 80 2
80 81 5
81 82 3
82 83 4
83 84 2
84 85 5
85 86 3
86 87 4
87 88 2
88 89 5
89 90 3
90 91 4
91 92 2
92 93 5
93 94 3
94 95 4
95 96 2
96 97 5
97 98 3
98 99 4
0 20 3
1 21 4
2 22 2
3 23 5
4 24 3
5 25 4
6 26 2
7 27 5
8 28 3
9 29 4
30 50 2
31 51 5
32 52 3
33 53 4
34 54 2
35 55 5
36 56 3
37 57 4
38 58 2
39 59 5
60 80 3
61 81 4
62 82 2
63 83 5
64 84 3
65 85 4
66 86 2
67 87 5
68 88 3
69 89 4
90 95 2
91 96 5
92 97 3
93 98 4
94 99 2
